#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
#,IMPORTANT SOFTWARE,   PROGRAMS THAT ARE FOR BARE MINIMUM FUNCTION
,dosfstools,        "allows your computer to access dos-like filesystems."
,exfat-utils,       "allows management of FAT drives."
,ntfs-3g,           "allows accessing NTFS partitions."
,sway,              "is the window manager."
,swaylock,          "to lock the screen"
,swayidle,          "to listen for idle events"
,swaybg,            "to set the background"
,xorg-xwayland,     "for compatibility."
,i3status-rust,     "is for the window manager. Replaces normal status command."
,zsh,               "is the shell."
,libnotify,         "allows desktop notifications (notify-send)."
,dunst,             "is a notification system."
,wmenu,             "is for neat scripts."
,rofi,              "for slick menus."
,kitty,             "is a nice terminal emulator."
,gammastep,          "is good for your eyes."
,bluez,             "enables bluetooth connectivity."
#,bluez-utils,       "helps with bluetooth."
,blueman,           "is a bluetooth manager."
,pipewire,          "is for audio/video capture/playback."
,pipewire-audio,    "is for audio."
,pipewire-pulse,    "is for audio."
,pipewire-alsa,     "is for managing ALSA as well."
,wireplumber,       "is a session/policy manager for pipewire."
,alsa-utils,        "fixes some audio bugs."
#,networkmanager,    "is a network manager."
#,network-manager-applet, "is a simple applet for networkmanager."
,pavucontrol,       "is for managing pulse audio."
#A,pwvucontrol,      "is for managing audio."
,pasystray,         "is a tray icon for pulse audio."
,polkit-gnome,      "provides a way for non-privileged processes to talk to privileged ones."
,gnome-keyring,     "serves as the system keyring."
,wl-clipboard,      "helps with the clipboard."
#,TOOLS,                PROGRAMS THAT ARE TOOLS - CLEAR INPUT TO CLEAR OUTPUT
,ffmpeg,            "can record and splice video and audio on the command line."
,imagemagick,       "has useful image-based utilties."
,man-db,            "is for man pages of programs."
,man-pages,         "is the actual pages for man."
#,mediainfo,         "shows audio and video information."
,atool,             "manages and gives information about archives."
,unrar,             "extracts rars."
,unzip,             "unzips zips."
#,maim,              "is a screenshot utility..."
,sway-contrib,      "has a screenshot utility."
,gparted,           "is for creating and maniputating partition tables."
#A,youtube-dl,        "can download videos or playlists from YouTube when given a link."
,yt-dlp,            "is an upgraded version of youtube-dl."
,python-mutagen,    "for handling audio metadata."
,fastfetch,         "prints system information in a pleasing way."
,highlight,         "can highlight code output."
,rsync,             "provides fast incremental file transfer."
,ifuse,             "allows iPhone connection."
,atomicparsley,     "can read/edit metadata in MPEG-4 files."
,bat,               "is a better cat."
#,EVERYDAY SOFTWARE,    PROGRAMS THAT ARE FOR 'EVERYDAY' USE
,vim,               "is vim."
,neovim,            "is vim but better."
,firefox,           "is an internet browser."
,discord,           "helps with communication."
,obsidian,          "helps with notes."
,steam,             "is for having fun. SEE README"
#A,spotify,         "is for listening to and exploring music."
#,libreoffice-fresh, "are office utilities."
#,obs-studio,       "is for screen recording/streaming."
#,tectonic,         "is for compiling LaTeX."
#A,pinta,             "is for creating and editing images. Similar to paint.NET."
#,gimp,             "is for creating and editing images.
,bc,                "is a basic calculator."
,lf,                "is a nice terminal file manager."
,ueberzug,          "is for image previews in lf."
#,nemo,              "is a good looking, graphical file manager."
,trash-cli,         "allows for trashing files and removing them later when they aren't needed."
,playerctl,         "is a media controller."
,brightnessctl,     "is a brightness controller."
,imv,               "is an image viewer."
#,eog,               "is an image viewer."
,mpv,               "is a media player."
,mpd,               "is a music player daemon for music."
A,mpdris2,          "allows playerctl to control mpd."
,ncmpcpp,           "is a front-end for mpd."
,zathura,           "is for viewing pdfs or comics."
,zathura-cb,        "allows zathura to open cb* files."
,zathura-pdf-mupdf, "allows zathura to open pdf files."
,newsboat,          "is a terminal RSS client."
,qbittorrent,       "helps with torrents."
,htop,              "is a process viewer."
,bottom,            "is an process/activity monitor."
,v4l-utils,         "for controlling webcams."
#,DEV SOFTWARE,         PROGRAMS THAT ARE FOR SOFTWARE DEVELOPMENT
A,vscodium,         "is for coding."
,nodejs,            "is for Node.js development."
,npm,               "is for Node.js development."
#A,bun-bin,          "is for Node.js development. Faster than npm."
,python,            "is for Python development."
,python-pip,        "is for Python development."
,rustup,            "is for Rust development."
#,dotnet-runtime,    "is for C# development."
#,dotnet-sdk,        "is for C# development."
#,go,                "is for Go development."
,plantuml,          "is for creating uml documents."
,jq,                "is for processing JSON."
,fzf,               "is for fuzzily finding things."
#,godot,            "is for creating games."
#,THEMES,               PACKAGES THAT HELP THEME
,materia-gtk-theme, "for materia dark compact."
#,python-pywal,      "helps with color schemes."
,ttf-liberation,    "supplies metric-compatible fonts."
,otf-libertinus,    "is for free and open fonts."
,noto-fonts-cjk,    "enables CJK support."
,noto-fonts-emoji,  "enables emoji support."
#,ttc-iosevka,       "is a nice font."
#,extra/ttf-hack,    "is a nice font."
#,ttf-fantasque-sans-mono, "is a nice font."
,ttf-fantasque-nerd, "is a nice font."
A,ttf-ancient-fonts, "for ancient font compatibility."
,otf-font-awesome,   "for cool icons."
#,FUN STUFF,            PROGRAMS THAT ARE JUST FOR FUN
#,sl,                "sends a steam locomotive across the terminal."
#,gameconqueror,     "allows you to change many things in memory (i.e. cheat engine)."
#A,cava,             "is for audio visualization."
#A,cbonsai,          "grows a nice looking bonsai tree in the terminal."
